Issue ID,Issue Link,Upstream System,Downstream System,Failure Plane,Data Plane: Properties,Failure Consequence,Fix: Pattern,Fix: Location,Discrepancy pattern type,Data Plane: Abstraction,Data Plane: Involves Data Serialization,Management Plane: Configuration Parameter or Component
FLINK-13758,https://docs.google.com/document/d/1wBbb9h_kjpToegCCRs1d6oPKYSUvDOrdOq87znRzUUE/edit,Flink,HDFS,Data,Custom Property,Job/task startup failure,Checking,Code specific to downstream interaction: Scattered,Wrong API Assumptions,File,No,
SPARK-2604,https://docs.google.com/document/d/1GjPzsmk6oL6mTwbo_ZBDBHk5y0gdKghnjwaZnVwGCp0/edit?usp=sharing,Spark,YARN,Control,,Startup failure,Checking,Code specific to downstream interaction: Connector ,State/Resource Inconsistency,,,
SPARK-19580,https://docs.google.com/document/d/1UzTRP5ttvWtBhiQpkBnMng1-ypiaWsJJg31G-rkGk5E/edit?usp=sharing,Spark,Hive,Management,,Job/task crash/hang,Interaction,Code specific to downstream interaction: Connector ,Ignorance,,,Parameter
FLINK-4155,https://docs.google.com/document/d/1X89LRofOgIFJcTMFIOKgPHanX-wv4k7TgN60dP-HvGQ/edit?usp=sharing,Flink,Kafka,Control,,Unexpected Behaviour,Interaction,Code specific to downstream interaction: Connector ,API Semantics Violation,,,
FLINK-15168,https://docs.google.com/document/d/1a0GAIaaNXSrWXDBireEumBqOVYzbpYmTNwnSayKBoH4/edit?usp=sharing,Flink,Hive,Data,Schema: Value,Job/task failure,Interaction,Code not specific to downstream interaction ,Type Confusion,Table,Yes,
FLINK-15429,https://docs.google.com/document/d/159QrLmhokjdDUgozZ60Uzj5edpKFdWfj7gzk3nQrE4Y/edit?usp=sharing,Flink,Hive,Data,Schema: Value,Job/task failure,Checking,Code specific to downstream interaction: Connector ,Undefined Values,Table,Yes,
SPARK-17000,https://docs.google.com/document/d/1gUXq_2IFfkNTuT1wCu19uEMs9Rk_r8hhsrvsiOitvFw/edit?usp=sharing,Spark,Hive,Management,,Job/task crash/hang,Interaction,Code specific to downstream interaction: Connector ,Unexpected Override,,,Parameter
SPARK-21627,https://docs.google.com/document/d/1cQAcMPaMKuG9v1kzORQY3U7L_CeCgbq_a0AXIbLlsC4/edit,Spark,Hive,Data,Schema: Structure,Job/task failure,Checking,Code specific to downstream interaction: Connector ,Type Confusion,Table,No,
SPARK-9757,https://docs.google.com/document/d/1a1cnjZg3fhF4BFUzVjzEarxaeInPto2oWDJhw3kAqJ8/edit,Spark,Hive,Data,Schema: Value,Job/task failure,Checking,Code specific to downstream interaction: Connector ,Unsupported Operations,Table,Yes,
FLINK-13197,https://docs.google.com/document/d/1TByvezZt8O1mfu5-iUkYqL9E0xsf_QUrofhoLewr_io/edit,Flink,Hive,Data,Schema: Structure,Job/task failure,Interaction,Code not specific to downstream interaction ,Type Confusion,Table,No,
FLINK-13869,https://docs.google.com/document/d/1hlW-lsHHN33rBaRBWUZW-gnblIM8fsnhK5PjF-ZQTHM/edit?usp=sharing,Flink,Hive,Data,Schema: Value,Job/task failure,Interaction,Code not specific to downstream interaction ,Undefined Values,Table,No,
FLINK-15194,https://docs.google.com/document/d/1XpwnVGrZcHptbaIvQgidrwF75H6UEjVAgDVgD3Q40PQ/edit?usp=sharing,Flink,YARN,Data,Custom Property,Job/task failure,Checking,Code not specific to downstream interaction ,Wrong API Assumptions,File,No,
FLINK-17189,https://docs.google.com/document/d/1-HTyRlSi3b9ZhSf1KN4whaZwWVY4fBgqk9m1hOzlwRo/edit?usp=sharing,Flink,Hive,Data,Schema: Value,Job/task failure,Interaction,Code not specific to downstream interaction ,Type Confusion,Table,Yes,
FLINK-2325,https://docs.google.com/document/d/1TfpdLNauzEZGtshWyzqquZeW5Y5Z4r2B_1sG4OGyzVQ/edit?usp=sharing,Flink,Kafka,Data,Schema: Value,Job/task failure,Interaction,Code specific to downstream interaction: Connector ,Undefined Values,Stream,No,
SPARK-8017,https://docs.google.com/document/d/16XKLmEqmGX61NcphiRGuqRTv8-6RnCE61roAirVkZnw/edit?usp=sharing,Spark,YARN,Management,,Job/task crash/hang,Interaction,Code specific to downstream interaction: Connector ,Ignorance,,,Parameter
FLINK-9384,https://docs.google.com/document/d/1xKZkVzWgGp4NK_cN9MfTr1uWvyBNlpI2ATQjGPjJYXg/edit?usp=sharing,Flink,Kafka,Data,Schema: Structure,Job/task failure,Interaction,Code not specific to downstream interaction ,Type Confusion,Table,Yes,
HIVE-11166,https://docs.google.com/document/d/1dJoUqZZhgddsJnJs6Z-ANT8qG_rYTk3wT6lZYrGdUxo/edit?usp=sharing,Spark,Hive,Data,Schema: Structure,Job/task failure,Interaction,Code specific to downstream interaction: Connector ,Type Confusion,Table,No,
HIVE-16958,https://docs.google.com/document/d/1062YbG7CcEL2EUm79nnbRWJTxerKK83915LOWwWk16M/edit?usp=sharing,Hive,Spark,Data,Schema: Structure,Job/task failure,Checking,Code not specific to downstream interaction ,Unsupported Operations,Table,No,
HIVE-17002,https://docs.google.com/document/d/1OAF7xPFzgUinO2JHNw4s2KPM45YjICU4V4jpO8QDBaI/edit?usp=sharing,Hive,HBase,Data,Schema: Value,Job/task failure,Interaction,Code not specific to downstream interaction ,Type Confusion,Table,Yes,
HIVE-19266,https://docs.google.com/document/d/1a1n7BIbhpIwqrajdmTDRIb3HPx3opP4hUP11BMCtbzY/edit?usp=sharing,Hive,Spark,Data,Address,Job/task failure,Checking,Code specific to downstream interaction: Connector ,Unsupported Operations,File,No,
